Fecha_Produccion,Turno,Lote_ID,Familia_Preparacion,Producto,Unidades_Producidas,Tiempo_Horneado_Min,Merma_Kg
2025-06-20,Mañana,LOTE-4865,Bizcochos,Tres leches,17,39,2.87
2026-02-11,Tarde,LOTE-1993,Bizcochos,Red velvet,35,47,0.12
2025-08-21,Mañana,LOTE-5717,Masas Quebradas,Tartaleta de fresa,51,55,1.15
2026-02-10,Tarde,LOTE-7251,Hojaldres,Empanada dulce,36,54,2.77
2026-03-14,Mañana,LOTE-7690,Hojaldres,Mil hojas,58,26,0.23
2026-06-09,Tarde,LOTE-1145,Masas Quebradas,Tartaleta de fresa,49,55,0.17
2026-02-07,Tarde,LOTE-1777,Bizcochos,Red velvet,21,53,2.28
2025-09-04,Tarde,LOTE-2724,Hojaldres,Croissant,28,26,2.56
2026-03-18,Tarde,LOTE-6179,Bizcochos,Torta de chocolate,59,52,2.09
2025-10-04,Mañana,LOTE-4284,Hojaldres,Croissant,35,53,0.56
2025-10-26,Mañana,LOTE-9118,Bizcochos,Torta de chocolate,26,37,1.52
2026-03-12,Tarde,LOTE-6220,Hojaldres,Mil hojas,46,30,1.95
2026-03-17,Mañana,LOTE-4432,Hojaldres,Croissant,22,50,0.32
2025-10-10,Mañana,LOTE-9905,Hojaldres,Croissant,19,55,1.03
2025-06-29,Tarde,LOTE-7412,Bizcochos,Torta de chocolate,13,40,0.24
2026-04-13,Mañana,LOTE-7685,Bizcochos,Torta de chocolate,12,37,2.86
2026-04-12,Tarde,LOTE-9892,Masas Quebradas,Pie de limon,34,23,1.02
2025-11-28,Tarde,LOTE-7696,Masas Quebradas,Tartaleta de fresa,35,41,0.97
2025-11-05,Mañana,LOTE-9259,Bizcochos,Tres leches,26,34,2.42
2025-07-10,Tarde,LOTE-6029,Bizcochos,Torta de chocolate,47,31,2.45
2025-07-22,Mañana,LOTE-5606,Bizcochos,Torta de chocolate,44,51,0.71
2025-08-12,Mañana,LOTE-9891,Hojaldres,Empanada dulce,48,43,1.37
2025-11-20,Mañana,LOTE-9830,Masas Quebradas,Pie de limon,28,29,1.89
2025-12-27,Mañana,LOTE-2155,Hojaldres,Mil hojas,56,18,2.97
2025-10-10,Mañana,LOTE-7639,Hojaldres,Croissant,43,27,2.19
2026-03-14,Tarde,LOTE-1016,Hojaldres,Croissant,47,33,1.41
2026-01-13,Mañana,LOTE-8229,Hojaldres,Empanada dulce,12,34,2.34
2025-12-16,Tarde,LOTE-7928,Bizcochos,Red velvet,22,20,0.25
2025-10-15,Tarde,LOTE-2090,Masas Quebradas,Tartaleta de fresa,10,34,1.81
2025-08-21,Tarde,LOTE-3232,Bizcochos,Torta de chocolate,13,50,2.76
2025-07-17,Mañana,LOTE-6398,Bizcochos,Red velvet,18,21,2.81
2025-10-14,Tarde,LOTE-8697,Bizcochos,Tres leches,49,36,2.79
2026-06-02,Mañana,LOTE-9296,Bizcochos,Tres leches,38,46,2.56
2025-11-08,Tarde,LOTE-6075,Bizcochos,Tres leches,47,38,1.96
2025-11-05,Mañana,LOTE-6591,Masas Quebradas,Tartaleta de fresa,42,54,1.58
2025-10-30,Tarde,LOTE-2187,Bizcochos,Torta de chocolate,17,16,1.18
2026-02-15,Mañana,LOTE-5851,Bizcochos,Tres leches,41,55,0.79
2025-07-16,Tarde,LOTE-8092,Bizcochos,Torta de chocolate,39,31,2.99
2026-05-18,Tarde,LOTE-6733,Hojaldres,Croissant,33,19,1.65
2025-11-04,Tarde,LOTE-4900,Masas Quebradas,Pie de limon,14,18,0.7
2025-10-23,Mañana,LOTE-7682,Hojaldres,Mil hojas,60,46,1.74
2025-08-22,Mañana,LOTE-7848,Masas Quebradas,Tartaleta de fresa,48,42,0.23
2026-01-19,Mañana,LOTE-7083,Hojaldres,Mil hojas,49,40,0.13
2025-08-21,Mañana,LOTE-2212,Hojaldres,Croissant,28,36,2.62
2025-09-25,Tarde,LOTE-8127,Hojaldres,Empanada dulce,11,46,0.65
2026-02-11,Mañana,LOTE-9843,Bizcochos,Torta de chocolate,45,50,0.26
2025-10-22,Mañana,LOTE-9332,Masas Quebradas,Tartaleta de fresa,28,47,1.66
2026-01-24,Mañana,LOTE-1472,Masas Quebradas,Tartaleta de fresa,19,18,1.23
2026-01-21,Tarde,LOTE-6203,Bizcochos,Red velvet,18,22,1.41
2025-12-23,Tarde,LOTE-2769,Masas Quebradas,Tartaleta de fresa,42,27,2.15
2025-10-23,Mañana,LOTE-5717,Hojaldres,Mil hojas,28,52,2.18
2026-03-15,Mañana,LOTE-6342,Bizcochos,Red velvet,30,45,1.75
2026-06-16,Tarde,LOTE-5423,Masas Quebradas,Pie de limon,10,36,0.77
2025-07-24,Mañana,LOTE-6031,Hojaldres,Empanada dulce,50,36,0.96
2026-01-30,Mañana,LOTE-8841,Hojaldres,Mil hojas,21,52,0.52
2025-09-21,Mañana,LOTE-8554,Masas Quebradas,Tartaleta de fresa,23,17,2.31
2026-01-02,Mañana,LOTE-4351,Bizcochos,Tres leches,52,42,0.93
2026-03-02,Mañana,LOTE-6988,Masas Quebradas,Pie de limon,50,18,2.54
2025-10-08,Mañana,LOTE-3369,Masas Quebradas,Pie de limon,21,34,0.43
2026-01-28,Tarde,LOTE-1184,Masas Quebradas,Tartaleta de fresa,14,16,1.24
2025-11-23,Tarde,LOTE-9271,Hojaldres,Croissant,51,53,0.85
2025-11-20,Tarde,LOTE-9589,Bizcochos,Red velvet,15,52,0.81
2025-11-17,Mañana,LOTE-3313,Masas Quebradas,Tartaleta de fresa,10,34,0.84
2025-09-25,Tarde,LOTE-1188,Masas Quebradas,Tartaleta de fresa,54,18,2.03
2025-07-11,Mañana,LOTE-1306,Bizcochos,Torta de chocolate,40,25,0.31
2025-06-30,Mañana,LOTE-6088,Hojaldres,Mil hojas,28,29,1.73
2026-06-12,Tarde,LOTE-2779,Bizcochos,Torta de chocolate,23,53,2.82
2025-11-13,Tarde,LOTE-3187,Masas Quebradas,Pie de limon,52,23,0.9
2026-06-12,Tarde,LOTE-6560,Bizcochos,Tres leches,25,27,2.58
2025-08-28,Mañana,LOTE-2435,Hojaldres,Croissant,31,23,1.34
2025-09-23,Tarde,LOTE-4372,Bizcochos,Red velvet,40,54,1.93
2026-01-18,Mañana,LOTE-3014,Bizcochos,Red velvet,49,27,0.14
2025-10-04,Mañana,LOTE-7053,Masas Quebradas,Pie de limon,50,25,0.7
2025-08-18,Mañana,LOTE-7978,Hojaldres,Mil hojas,52,16,2.89
2026-02-20,Tarde,LOTE-8538,Masas Quebradas,Pie de limon,12,45,0.67
2025-06-22,Tarde,LOTE-7180,Masas Quebradas,Tartaleta de fresa,31,22,2.05
2026-01-31,Mañana,LOTE-3785,Bizcochos,Torta de chocolate,41,39,2.68
2026-03-14,Mañana,LOTE-3873,Bizcochos,Red velvet,44,28,1.52
2026-01-28,Tarde,LOTE-1233,Masas Quebradas,Tartaleta de fresa,12,41,0.11
2025-09-16,Mañana,LOTE-1028,Hojaldres,Croissant,47,46,1.5
2025-09-02,Tarde,LOTE-4732,Masas Quebradas,Pie de limon,19,25,2.85
2026-03-08,Tarde,LOTE-3102,Masas Quebradas,Tartaleta de fresa,54,55,2.01
2025-07-24,Mañana,LOTE-2512,Bizcochos,Tres leches,24,19,2.69
2026-01-18,Tarde,LOTE-3606,Hojaldres,Croissant,40,15,0.19
2026-01-03,Mañana,LOTE-9505,Bizcochos,Tres leches,23,23,0.13
2026-02-13,Tarde,LOTE-5087,Bizcochos,Tres leches,52,41,2.85
2025-12-08,Mañana,LOTE-9196,Hojaldres,Empanada dulce,17,53,2.72
2026-02-05,Tarde,LOTE-5015,Masas Quebradas,Pie de limon,20,19,0.69
2026-02-23,Tarde,LOTE-3013,Hojaldres,Croissant,40,24,1.72
2026-03-04,Mañana,LOTE-1061,Masas Quebradas,Tartaleta de fresa,27,55,1.36
2025-09-15,Mañana,LOTE-7557,Masas Quebradas,Pie de limon,30,15,1.51
2026-02-25,Mañana,LOTE-6391,Bizcochos,Red velvet,31,27,0.73
2026-05-28,Tarde,LOTE-3721,Hojaldres,Croissant,51,48,1.82
2026-01-15,Tarde,LOTE-5866,Bizcochos,Torta de chocolate,52,28,1.7
2025-11-19,Tarde,LOTE-6199,Hojaldres,Croissant,23,18,2.77
2025-09-19,Mañana,LOTE-6969,Hojaldres,Empanada dulce,39,45,1.62
2025-07-02,Mañana,LOTE-6308,Bizcochos,Red velvet,40,24,0.16
2026-04-28,Tarde,LOTE-1007,Masas Quebradas,Pie de limon,60,26,2.47
2025-10-02,Mañana,LOTE-6791,Hojaldres,Croissant,29,17,1.91
2025-06-22,Tarde,LOTE-7395,Masas Quebradas,Pie de limon,28,40,1.92
2026-05-12,Tarde,LOTE-6534,Masas Quebradas,Pie de limon,57,19,0.3
2025-11-28,Tarde,LOTE-1820,Masas Quebradas,Pie de limon,40,43,2.11
2025-08-12,Mañana,LOTE-5393,Masas Quebradas,Pie de limon,19,53,1.61
2026-04-14,Mañana,LOTE-2935,Bizcochos,Tres leches,27,21,1.76
2026-03-27,Mañana,LOTE-8693,Bizcochos,Torta de chocolate,52,21,2.81
2025-08-17,Mañana,LOTE-8063,Hojaldres,Mil hojas,13,18,1.5
2025-08-02,Tarde,LOTE-1603,Masas Quebradas,Tartaleta de fresa,46,52,1.63
2026-02-23,Mañana,LOTE-6408,Hojaldres,Empanada dulce,53,22,1.02
2025-07-11,Tarde,LOTE-3193,Masas Quebradas,Pie de limon,59,43,0.36
2025-10-31,Tarde,LOTE-4279,Bizcochos,Tres leches,41,38,2.98
2026-01-14,Tarde,LOTE-8760,Hojaldres,Mil hojas,60,50,2.13
2025-11-07,Tarde,LOTE-3209,Bizcochos,Red velvet,17,28,1.29
2026-02-20,Mañana,LOTE-3682,Hojaldres,Empanada dulce,20,52,2.36
2026-05-24,Mañana,LOTE-5073,Masas Quebradas,Pie de limon,31,29,2.68
2025-09-29,Tarde,LOTE-2038,Masas Quebradas,Pie de limon,42,21,1.65
2025-10-11,Tarde,LOTE-4286,Masas Quebradas,Tartaleta de fresa,49,55,0.59
2025-09-19,Mañana,LOTE-8806,Bizcochos,Red velvet,46,43,1.95
2026-05-18,Tarde,LOTE-4046,Hojaldres,Empanada dulce,58,48,1.56
2026-04-15,Tarde,LOTE-5051,Masas Quebradas,Pie de limon,33,28,1.51
2025-10-24,Tarde,LOTE-6604,Hojaldres,Empanada dulce,16,42,1.79
2025-08-16,Tarde,LOTE-3533,Bizcochos,Torta de chocolate,21,43,1.52
2026-03-31,Mañana,LOTE-2971,Hojaldres,Empanada dulce,44,44,0.87
2025-10-15,Mañana,LOTE-4774,Bizcochos,Torta de chocolate,29,23,1.39
2025-07-22,Tarde,LOTE-8476,Masas Quebradas,Tartaleta de fresa,10,22,2.11
2025-11-18,Tarde,LOTE-1398,Hojaldres,Croissant,45,42,0.76
2026-06-15,Mañana,LOTE-7890,Hojaldres,Mil hojas,18,54,2.28
2026-05-24,Mañana,LOTE-2546,Hojaldres,Mil hojas,29,29,0.65
2025-08-20,Mañana,LOTE-5842,Bizcochos,Torta de chocolate,31,55,2.46
2026-04-02,Mañana,LOTE-6477,Hojaldres,Empanada dulce,52,33,2.7
2026-05-20,Tarde,LOTE-1397,Masas Quebradas,Tartaleta de fresa,10,50,0.49
2025-07-22,Mañana,LOTE-7358,Masas Quebradas,Tartaleta de fresa,34,29,0.33
2025-08-04,Mañana,LOTE-4704,Hojaldres,Croissant,13,36,1.62
2026-04-15,Tarde,LOTE-1395,Bizcochos,Torta de chocolate,19,34,2.83
2025-12-05,Mañana,LOTE-8615,Hojaldres,Mil hojas,13,15,0.47
2026-03-20,Mañana,LOTE-4999,Bizcochos,Tres leches,31,34,2.63
2026-01-10,Mañana,LOTE-6505,Hojaldres,Empanada dulce,29,15,2.16
2025-11-13,Mañana,LOTE-6132,Hojaldres,Mil hojas,45,44,1.72
2025-12-13,Mañana,LOTE-6144,Hojaldres,Croissant,26,21,2.01
2025-11-20,Tarde,LOTE-9780,Bizcochos,Red velvet,55,52,1.91
2025-08-06,Mañana,LOTE-3357,Bizcochos,Red velvet,42,16,2.73
2026-05-31,Mañana,LOTE-5232,Hojaldres,Mil hojas,60,25,0.19
2026-03-21,Mañana,LOTE-3897,Hojaldres,Mil hojas,19,32,2.47
2025-10-08,Mañana,LOTE-5744,Bizcochos,Torta de chocolate,40,25,0.51
2025-09-14,Tarde,LOTE-4416,Masas Quebradas,Pie de limon,23,38,2.0
2026-04-12,Mañana,LOTE-8572,Bizcochos,Tres leches,52,50,1.02
2025-11-18,Tarde,LOTE-7263,Hojaldres,Croissant,54,20,1.03
2025-12-29,Mañana,LOTE-1054,Masas Quebradas,Pie de limon,30,29,2.73
2026-04-23,Tarde,LOTE-4648,Bizcochos,Red velvet,24,28,2.97
2026-06-05,Tarde,LOTE-9569,Hojaldres,Croissant,57,22,0.67
2025-09-30,Tarde,LOTE-2042,Hojaldres,Empanada dulce,36,29,2.07
2026-04-06,Tarde,LOTE-7377,Bizcochos,Torta de chocolate,29,38,0.69
2026-04-01,Tarde,LOTE-5117,Masas Quebradas,Pie de limon,28,25,2.01
2025-08-16,Tarde,LOTE-8780,Hojaldres,Mil hojas,20,28,1.39
2025-08-30,Mañana,LOTE-4447,Hojaldres,Mil hojas,23,25,0.45
2026-04-26,Mañana,LOTE-1459,Masas Quebradas,Pie de limon,38,17,2.44
2026-05-15,Tarde,LOTE-9906,Masas Quebradas,Pie de limon,13,31,2.57
2026-04-16,Mañana,LOTE-3530,Bizcochos,Red velvet,15,52,0.73
2026-03-20,Tarde,LOTE-2495,Masas Quebradas,Tartaleta de fresa,48,39,1.64
2026-04-26,Tarde,LOTE-6498,Bizcochos,Red velvet,51,37,0.26
2026-01-23,Mañana,LOTE-2327,Hojaldres,Empanada dulce,40,29,2.35
2026-03-19,Tarde,LOTE-9653,Masas Quebradas,Pie de limon,38,25,2.12
2026-06-11,Mañana,LOTE-8524,Bizcochos,Torta de chocolate,27,51,0.31
2025-12-07,Tarde,LOTE-8346,Bizcochos,Tres leches,29,24,1.11
2025-06-25,Mañana,LOTE-2031,Masas Quebradas,Pie de limon,31,25,2.06
2025-12-21,Tarde,LOTE-4649,Hojaldres,Empanada dulce,22,27,2.37
2025-09-28,Tarde,LOTE-7532,Masas Quebradas,Tartaleta de fresa,31,54,1.71
2026-02-26,Mañana,LOTE-7966,Masas Quebradas,Tartaleta de fresa,13,16,1.0
2025-11-18,Tarde,LOTE-3968,Masas Quebradas,Pie de limon,33,43,1.51
2025-08-30,Tarde,LOTE-2052,Hojaldres,Empanada dulce,12,40,2.81
2026-04-20,Mañana,LOTE-5015,Masas Quebradas,Tartaleta de fresa,53,51,1.93
2026-05-31,Mañana,LOTE-8697,Bizcochos,Torta de chocolate,43,37,1.99
2025-10-27,Mañana,LOTE-2183,Bizcochos,Torta de chocolate,46,32,1.41
2026-05-22,Tarde,LOTE-5363,Bizcochos,Torta de chocolate,43,39,1.57
2026-03-09,Tarde,LOTE-8744,Hojaldres,Empanada dulce,35,52,0.82
2025-09-10,Tarde,LOTE-5117,Bizcochos,Red velvet,44,15,2.82
2026-01-07,Tarde,LOTE-8612,Bizcochos,Red velvet,15,24,1.48
2025-07-09,Mañana,LOTE-3067,Hojaldres,Croissant,13,23,1.06
2026-06-13,Tarde,LOTE-7259,Bizcochos,Tres leches,56,33,1.63
2026-01-24,Tarde,LOTE-7957,Hojaldres,Mil hojas,55,25,0.36
2025-08-22,Mañana,LOTE-3108,Masas Quebradas,Pie de limon,26,54,0.97
2026-03-16,Tarde,LOTE-2028,Hojaldres,Mil hojas,26,25,0.69
2025-09-23,Tarde,LOTE-3239,Hojaldres,Croissant,39,39,1.37
2026-03-21,Mañana,LOTE-7087,Hojaldres,Empanada dulce,45,20,1.6
2026-04-27,Tarde,LOTE-7174,Masas Quebradas,Tartaleta de fresa,16,36,0.42
2025-10-15,Tarde,LOTE-7420,Masas Quebradas,Tartaleta de fresa,20,49,1.73
2026-01-30,Mañana,LOTE-8784,Bizcochos,Tres leches,21,48,1.99
2025-09-18,Mañana,LOTE-1020,Hojaldres,Mil hojas,43,31,2.41
2025-07-02,Tarde,LOTE-9456,Hojaldres,Empanada dulce,52,23,1.62
2025-08-10,Mañana,LOTE-2201,Masas Quebradas,Pie de limon,23,53,0.77
2025-09-30,Mañana,LOTE-6503,Hojaldres,Mil hojas,15,46,1.77
2026-06-20,Mañana,LOTE-9091,Masas Quebradas,Tartaleta de fresa,56,55,0.51
2026-02-03,Mañana,LOTE-1496,Masas Quebradas,Tartaleta de fresa,15,25,1.9
2025-08-13,Mañana,LOTE-8283,Hojaldres,Mil hojas,36,47,1.4
2025-07-27,Mañana,LOTE-8909,Bizcochos,Tres leches,26,26,2.15
2025-12-21,Mañana,LOTE-6110,Masas Quebradas,Pie de limon,52,23,0.72
2026-04-27,Mañana,LOTE-2142,Masas Quebradas,Tartaleta de fresa,51,33,1.52
2026-05-18,Mañana,LOTE-4455,Bizcochos,Tres leches,10,33,0.7
2026-05-20,Mañana,LOTE-8509,Hojaldres,Croissant,38,46,0.63
2026-05-29,Tarde,LOTE-9553,Bizcochos,Red velvet,47,18,1.35
2026-05-15,Tarde,LOTE-7405,Bizcochos,Tres leches,10,43,1.45
2025-09-16,Tarde,LOTE-7387,Hojaldres,Empanada dulce,42,33,1.28
2026-04-16,Mañana,LOTE-9277,Bizcochos,Tres leches,24,41,1.72
2025-10-19,Tarde,LOTE-1315,Masas Quebradas,Pie de limon,45,49,2.96
2025-10-01,Mañana,LOTE-4725,Bizcochos,Tres leches,20,50,0.31
2026-03-30,Tarde,LOTE-8996,Hojaldres,Mil hojas,51,28,0.19
2026-02-06,Tarde,LOTE-6041,Bizcochos,Torta de chocolate,48,41,0.82
2026-06-12,Mañana,LOTE-6159,Masas Quebradas,Tartaleta de fresa,43,41,0.86
2025-12-27,Tarde,LOTE-4237,Bizcochos,Tres leches,13,54,2.77
2025-11-07,Mañana,LOTE-2695,Hojaldres,Empanada dulce,19,49,1.57
2025-08-16,Tarde,LOTE-1415,Bizcochos,Red velvet,30,18,1.33
2026-01-18,Mañana,LOTE-5254,Bizcochos,Red velvet,48,26,0.22
2026-05-05,Tarde,LOTE-3390,Bizcochos,Tres leches,15,48,1.8
2026-02-24,Mañana,LOTE-1146,Bizcochos,Red velvet,26,26,2.92
2025-10-09,Tarde,LOTE-6027,Hojaldres,Mil hojas,12,26,2.75
2025-08-28,Mañana,LOTE-3275,Bizcochos,Torta de chocolate,14,20,1.3
2025-08-18,Tarde,LOTE-6435,Bizcochos,Red velvet,48,20,2.36
2025-06-20,Mañana,LOTE-2902,Masas Quebradas,Pie de limon,45,51,0.96
2025-08-28,Mañana,LOTE-3528,Bizcochos,Red velvet,53,54,2.7
2026-03-19,Tarde,LOTE-9678,Bizcochos,Tres leches,19,34,0.88
2025-09-25,Mañana,LOTE-2404,Masas Quebradas,Pie de limon,59,44,2.8
2025-10-01,Tarde,LOTE-9017,Bizcochos,Red velvet,18,35,1.95
2025-09-04,Mañana,LOTE-5031,Masas Quebradas,Tartaleta de fresa,31,21,2.16
2026-05-26,Tarde,LOTE-3523,Masas Quebradas,Pie de limon,43,49,1.51
2025-10-09,Mañana,LOTE-7182,Bizcochos,Tres leches,50,38,0.47
2025-12-11,Tarde,LOTE-2999,Masas Quebradas,Tartaleta de fresa,50,49,1.39
2026-02-20,Mañana,LOTE-7808,Masas Quebradas,Tartaleta de fresa,38,18,2.33
2026-04-27,Tarde,LOTE-6739,Masas Quebradas,Pie de limon,22,18,1.65
2026-06-04,Mañana,LOTE-2354,Bizcochos,Torta de chocolate,37,22,2.92
2026-04-29,Mañana,LOTE-1313,Masas Quebradas,Pie de limon,42,29,2.25
2026-03-26,Tarde,LOTE-2819,Masas Quebradas,Pie de limon,36,46,1.31
2025-07-30,Mañana,LOTE-5471,Bizcochos,Tres leches,34,28,2.23
2026-02-13,Tarde,LOTE-2164,Hojaldres,Croissant,58,44,2.88
2025-11-10,Mañana,LOTE-5853,Hojaldres,Empanada dulce,14,15,1.43
2025-09-28,Mañana,LOTE-2252,Masas Quebradas,Pie de limon,45,53,1.07
2025-08-29,Mañana,LOTE-1172,Hojaldres,Croissant,58,39,1.92
2026-01-14,Mañana,LOTE-7726,Bizcochos,Tres leches,60,30,0.22
2026-05-10,Tarde,LOTE-2300,Bizcochos,Tres leches,20,38,0.6
2026-01-30,Mañana,LOTE-7591,Masas Quebradas,Tartaleta de fresa,47,33,1.4
2026-02-11,Mañana,LOTE-5435,Bizcochos,Tres leches,28,45,2.63
2026-01-31,Mañana,LOTE-6558,Masas Quebradas,Pie de limon,45,49,0.54
2025-09-30,Mañana,LOTE-8017,Bizcochos,Red velvet,13,31,2.75
2026-02-07,Tarde,LOTE-9523,Masas Quebradas,Pie de limon,35,44,0.1
2026-04-10,Mañana,LOTE-6561,Masas Quebradas,Pie de limon,30,38,1.41
2025-10-04,Mañana,LOTE-6951,Hojaldres,Empanada dulce,25,27,2.13
2025-08-27,Tarde,LOTE-4408,Masas Quebradas,Pie de limon,45,25,0.79
2025-08-12,Tarde,LOTE-8085,Hojaldres,Mil hojas,37,17,2.25
2026-06-17,Mañana,LOTE-9586,Hojaldres,Croissant,60,46,1.06
2026-04-28,Mañana,LOTE-2872,Hojaldres,Croissant,15,21,0.18
2025-08-12,Tarde,LOTE-1491,Hojaldres,Mil hojas,36,46,2.95
2025-12-07,Tarde,LOTE-7737,Masas Quebradas,Pie de limon,25,40,1.09
2025-10-29,Mañana,LOTE-3627,Bizcochos,Tres leches,37,21,0.12
2026-01-31,Tarde,LOTE-7357,Hojaldres,Mil hojas,58,23,2.55
2025-10-31,Tarde,LOTE-4607,Bizcochos,Red velvet,14,28,2.28
2025-08-31,Tarde,LOTE-3800,Bizcochos,Tres leches,16,23,2.17
2025-10-02,Tarde,LOTE-4929,Hojaldres,Empanada dulce,37,17,0.59
2025-08-30,Mañana,LOTE-2513,Masas Quebradas,Tartaleta de fresa,51,33,0.86
2025-08-06,Tarde,LOTE-1188,Hojaldres,Croissant,57,34,2.51
2026-01-10,Mañana,LOTE-5295,Masas Quebradas,Pie de limon,11,31,2.35
2026-05-28,Mañana,LOTE-5230,Masas Quebradas,Tartaleta de fresa,52,51,2.77
2026-03-24,Mañana,LOTE-9629,Hojaldres,Mil hojas,52,31,1.81
2026-01-06,Tarde,LOTE-4772,Bizcochos,Tres leches,15,18,0.51
2026-01-19,Tarde,LOTE-2558,Bizcochos,Torta de chocolate,45,16,2.8
2025-10-27,Tarde,LOTE-5581,Bizcochos,Tres leches,40,46,2.04
2025-12-22,Mañana,LOTE-5375,Bizcochos,Torta de chocolate,36,47,0.98
2026-03-06,Mañana,LOTE-3282,Bizcochos,Torta de chocolate,34,24,2.56
2026-05-24,Mañana,LOTE-7921,Bizcochos,Red velvet,38,53,1.27
2025-09-04,Mañana,LOTE-2189,Bizcochos,Red velvet,22,52,0.43
2026-06-13,Mañana,LOTE-7045,Bizcochos,Tres leches,49,27,1.61
2025-10-30,Mañana,LOTE-4592,Masas Quebradas,Pie de limon,44,42,2.33
2025-08-05,Tarde,LOTE-7822,Hojaldres,Mil hojas,58,33,0.39
2026-03-28,Mañana,LOTE-2717,Hojaldres,Empanada dulce,58,31,2.59
2025-06-29,Tarde,LOTE-8571,Hojaldres,Empanada dulce,14,37,2.21
2025-07-29,Tarde,LOTE-8525,Bizcochos,Tres leches,10,36,1.53
2026-05-14,Tarde,LOTE-9000,Masas Quebradas,Pie de limon,59,21,1.44
2026-04-18,Tarde,LOTE-8434,Masas Quebradas,Tartaleta de fresa,10,18,1.84
2025-10-29,Mañana,LOTE-4456,Hojaldres,Croissant,51,41,2.6
2025-07-17,Tarde,LOTE-3610,Bizcochos,Red velvet,24,53,1.02
2026-06-11,Tarde,LOTE-7076,Hojaldres,Mil hojas,54,39,1.65
2026-03-22,Tarde,LOTE-2457,Hojaldres,Empanada dulce,17,15,2.13
2026-03-30,Tarde,LOTE-6675,Bizcochos,Torta de chocolate,30,47,1.53
2026-02-20,Tarde,LOTE-5698,Hojaldres,Croissant,37,53,1.85
2025-07-20,Tarde,LOTE-9445,Hojaldres,Croissant,28,28,1.48
2025-10-14,Tarde,LOTE-6559,Bizcochos,Red velvet,27,35,1.65
2026-05-24,Mañana,LOTE-7062,Bizcochos,Red velvet,55,33,1.63
2025-09-20,Mañana,LOTE-5673,Bizcochos,Red velvet,16,34,1.44
2026-04-12,Mañana,LOTE-3127,Bizcochos,Red velvet,12,41,2.78
2025-12-08,Tarde,LOTE-9730,Hojaldres,Croissant,21,52,1.85
2026-02-20,Tarde,LOTE-2109,Hojaldres,Croissant,47,26,2.51
2025-11-03,Tarde,LOTE-7804,Bizcochos,Red velvet,22,25,0.83
2026-05-11,Tarde,LOTE-3741,Masas Quebradas,Pie de limon,29,44,0.65
2025-07-29,Mañana,LOTE-3071,Masas Quebradas,Pie de limon,33,38,0.2
2025-12-24,Tarde,LOTE-1192,Hojaldres,Croissant,23,47,2.19
2025-11-11,Tarde,LOTE-9332,Bizcochos,Torta de chocolate,49,35,2.25
2026-04-02,Tarde,LOTE-1954,Masas Quebradas,Tartaleta de fresa,50,51,0.6
2026-03-03,Tarde,LOTE-9780,Masas Quebradas,Pie de limon,58,19,1.98
2025-10-25,Tarde,LOTE-9165,Masas Quebradas,Pie de limon,21,31,2.28
2025-07-01,Mañana,LOTE-4788,Hojaldres,Mil hojas,44,27,2.36
2025-12-29,Tarde,LOTE-8541,Masas Quebradas,Tartaleta de fresa,20,55,1.92
2026-03-20,Tarde,LOTE-1133,Hojaldres,Croissant,58,23,1.72
2025-07-05,Tarde,LOTE-4190,Bizcochos,Torta de chocolate,60,42,1.82
2025-10-09,Mañana,LOTE-3899,Bizcochos,Red velvet,48,36,1.18
2026-04-29,Tarde,LOTE-3521,Bizcochos,Torta de chocolate,49,28,2.2
2025-10-27,Mañana,LOTE-7828,Masas Quebradas,Pie de limon,23,17,1.43
2026-04-25,Tarde,LOTE-2055,Hojaldres,Mil hojas,48,45,2.88
2025-07-31,Tarde,LOTE-9884,Hojaldres,Mil hojas,30,21,1.01
2025-10-11,Tarde,LOTE-4110,Bizcochos,Torta de chocolate,11,25,0.75
2026-01-17,Tarde,LOTE-7748,Hojaldres,Croissant,55,52,0.67
2025-08-22,Mañana,LOTE-3649,Bizcochos,Red velvet,39,51,1.22
2025-08-09,Tarde,LOTE-1835,Bizcochos,Tres leches,51,15,2.54
2026-04-12,Tarde,LOTE-1390,Masas Quebradas,Tartaleta de fresa,59,15,0.6
2025-10-01,Mañana,LOTE-8166,Bizcochos,Tres leches,20,53,1.01
2025-07-09,Tarde,LOTE-9262,Masas Quebradas,Tartaleta de fresa,49,21,2.31
2025-09-18,Mañana,LOTE-2525,Bizcochos,Red velvet,24,30,2.99
2026-05-15,Tarde,LOTE-9585,Hojaldres,Empanada dulce,24,34,0.67
2026-01-07,Mañana,LOTE-4993,Hojaldres,Mil hojas,12,36,0.8
2026-05-12,Mañana,LOTE-5921,Bizcochos,Torta de chocolate,31,55,2.49
2025-08-21,Mañana,LOTE-1651,Hojaldres,Croissant,24,21,1.15
2025-12-29,Tarde,LOTE-3805,Hojaldres,Croissant,55,19,0.23
2025-08-15,Mañana,LOTE-8982,Hojaldres,Mil hojas,26,18,1.86
2025-09-17,Mañana,LOTE-8507,Masas Quebradas,Pie de limon,50,24,1.21
2026-03-15,Tarde,LOTE-4966,Bizcochos,Red velvet,32,51,1.07
2026-05-02,Tarde,LOTE-5941,Bizcochos,Red velvet,14,45,2.98
2025-12-26,Mañana,LOTE-9295,Masas Quebradas,Tartaleta de fresa,53,48,0.93
2025-08-06,Tarde,LOTE-9446,Hojaldres,Empanada dulce,29,38,1.23
